@relation cleaned_data

@attribute Instance_number numeric
@attribute price numeric
@attribute retail_price numeric
@attribute units_sold numeric
@attribute uses_ad_boosts numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute rating_five_count numeric
@attribute rating_four_count numeric
@attribute rating_three_count numeric
@attribute rating_two_count numeric
@attribute rating_one_count numeric
@attribute badges_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute badge_fast_shipping numeric
@attribute product_variation_size_id numeric
@attribute product_variation_inventory numeric
@attribute shipping_option_price numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute inventory_total numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute pink numeric
@attribute green numeric
@attribute black numeric
@attribute yellow numeric
@attribute brown numeric
@attribute grey numeric
@attribute red numeric
@attribute beige numeric
@attribute orange numeric
@attribute gray numeric
@attribute white numeric
@attribute blue numeric
@attribute purple numeric
@attribute multicolor numeric

@data
30,8.8,7,1000,0,4.22,124,75,25,8,8,8,0,0,0,0,2,50,3,0,43,50,3950,4.057468,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,13.2,11,20000,1,3.89,2294,1099,449,362,154,230,0,0,0,0,4,25,3,0,50,50,59903,4.153665,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,15.4,27,5000,0,3.52,1442,573,250,227,139,253,0,0,0,0,3,50,4,0,43,50,7874,3.959995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,12.1,152,1000,0,3.91,808,381,180,110,68,69,0,0,0,0,1,50,2,0,43,50,87178,3.90836,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,15.4,75,10000,0,4.15,2514,1375,544,332,122,141,0,0,0,0,2,50,4,0,43,50,27719,4.070637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,12.1,10,100,1,3.8,10,5,1,2,1,1,0,0,0,0,1,10,2,0,26,50,247,3.94332,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,5.291,76,10000,0,4.16,3135,1695,721,416,140,163,0,0,0,0,2,45,1,0,39,50,24564,3.92888,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,6.6,17,100,0,3.47,55,22,9,6,9,9,0,0,0,0,8,50,2,0,49,50,7851,4.216278,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,7.7,9,100,0,3.23,43,14,6,9,4,10,0,0,0,0,8,1,2,0,40,50,7363,4.106343,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,16.5,13,50,1,4.4,10,5,4,1,0,0,0,0,0,0,2,2,4,0,36,50,34,3.676471,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,4.4,26,5000,1,4.3,825,530,136,82,34,43,1,0,1,0,8,50,1,0,48,50,12666,4.39831,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,5.5,5,50000,0,3.93,7088,3367,1510,1148,469,594,0,0,0,0,2,50,1,0,29,50,11481,4.095288,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,14.3,11,1000,1,3.82,11,5,3,1,0,2,0,0,0,0,2,30,3,0,43,50,80093,4.006692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,4.026,26,100,1,3.2,10,4,2,0,0,4,0,0,0,0,8,50,1,0,140,50,269,3.33829,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44,3.091,3,5000,0,3.91,940,453,198,124,78,87,0,0,0,0,2,30,1,0,43,50,42919,4.105967,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,8.8,10,100,0,2.71,7,1,1,2,1,2,0,0,0,0,1,4,3,0,20,50,224,3.892857,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46,6.6,6,100,1,3.67,27,9,8,5,2,3,0,0,0,0,8,5,2,0,38,50,4705,4.040595,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,7.7,9,10000,1,4.47,1838,1253,351,139,42,53,1,0,1,0,2,50,2,0,43,50,8727,4.161797,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,6.49,5,10000,0,3.64,1933,867,298,299,151,318,0,0,0,0,8,4,1,0,30,50,2366,3.951817,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,6.314,59,1000,0,3.99,71,41,7,10,7,6,0,0,0,0,1,3,1,0,43,50,3161,4.181588,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,12.1,10,20000,0,3.73,8609,3624,1733,1531,761,960,0,0,0,0,2,50,3,0,41,50,32394,3.924677,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,4.059,53,100,1,4.36,11,6,3,2,0,0,1,0,0,1,8,1,1,0,27,50,277,3.855596,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,1.936,2,100,0,4.63,35,27,5,2,0,1,1,0,1,0,2,2,1,0,45,9,10622,4.455941,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,2.2,2,10000,1,3.99,980,520,180,120,67,93,0,0,0,0,2,1,1,0,23,50,12309,4.04517,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
54,12.1,10,1000,0,3.67,215,94,32,40,23,26,0,0,0,0,2,50,2,0,39,50,2377,4.063525,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
55,8.8,31,1000,1,4.12,155,84,31,22,11,7,0,0,0,0,2,50,2,0,43,50,28295,3.809966,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
56,12.1,11,1000,0,3.75,213,97,35,38,16,27,0,0,0,0,2,50,3,0,18,50,17120,3.89889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
57,8.8,22,100,0,3.92,12,7,1,2,0,2,0,0,0,0,2,47,2,0,43,50,65189,4.04964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,8.8,11,100,0,3.87,91,40,24,13,3,11,0,0,0,0,8,43,3,0,25,50,11557,4.040062,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
59,9.9,8,1000,1,4.03,248,127,59,26,15,21,0,0,0,0,1,2,3,0,45,50,1722,3.906504,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,15.4,12,1000,1,3.61,548,225,102,89,46,86,0,0,0,0,2,29,4,0,26,50,40457,3.960328,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
61,5.5,5,5000,0,3.76,669,289,136,115,52,77,0,0,0,0,2,18,2,0,48,50,32168,3.884544,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
62,2.2,25,100,1,3.9,58,31,11,3,5,8,0,0,0,0,1,4,1,0,37,50,167,3.610778,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,5.5,5,1000,1,4.1,166,95,28,21,9,13,1,0,1,0,2,1,2,0,42,50,13909,4.356819,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64,17.6,84,100,0,3.41,27,11,5,3,0,8,0,0,0,0,2,50,4,0,39,50,9940,4.048994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,9.9,84,1000,0,4.3,420,255,83,52,15,15,0,0,0,0,3,50,3,0,43,50,8404,4.246192,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
66,8.8,7,10000,0,3.71,2747,1253,470,390,233,401,0,0,0,0,3,50,3,0,43,50,65189,4.04964,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
67,5.5,5,20000,0,4.19,7773,4220,1795,1098,351,309,1,0,1,0,3,9,1,0,38,50,10269,4.260006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
68,13.2,11,100,0,3.73,104,40,24,24,4,12,0,0,0,0,2,50,3,0,42,50,17002,4.02782,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
69,9.9,85,50,1,4.63,8,5,3,0,0,0,0,0,0,0,1,18,3,0,36,50,54,4.185185,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,12.1,10,10000,1,3.86,2102,981,445,301,141,234,0,0,0,0,1,50,2,0,39,50,14284,4.025623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,13.2,11,20000,1,3.8,2066,932,422,317,151,244,0,0,0,0,3,25,3,0,49,50,55670,4.121484,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,15.4,51,100,0,3.75,36,18,5,4,4,5,0,0,0,0,2,50,4,0,42,50,16885,3.897898,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,6.226,5,20000,0,4.14,2927,1646,564,389,145,183,0,0,0,0,2,14,2,0,29,50,8205,4.195856,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
